ID,Player,Debut,Age,Yrs,Draft Position,Team,Draft_Status,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,3P_PCT,FT_PCT,MP_Avg_Per_Gm,PTS_Avg_Per_Gm,TRB_Avg_Per_Gm,AST_Avg_Per_Gm,STL_Avg_Per_Gm,BLK_Avg_Per_Gm
1,LeBron James,"Oct 29, '03, CLE @ SAC",19,22,1,Cleveland Cavaliers,Drafted,1562,59041,15488,30583,2559,7322,8649,11735,1799,11731,11584,2345,1150,5471,2781,42184,0.506,0.349,0.737,37.8,27,7.5,7.4,1.5,0.7
2,Darko Milicic,"Oct 31, '03, DET @ MIA",18,10,2,Detroit Pistons,Drafted,468,8638,1196,2602,0,6,421,734,628,1971,405,206,613,573,1065,2813,0.46,0,0.574,18.5,6,4.2,0.9,0.4,1.3
3,Carmelo Anthony,"Oct 29, '03, DEN vs. SAS",19,19,3,Denver Nuggets,Drafted,1260,43514,10119,22643,1731,4873,6320,7764,1983,7808,3422,1223,644,3052,3543,28289,0.447,0.355,0.814,34.5,22.5,6.2,2.7,1,0.5
4,Chris Bosh,"Oct 29, '03, TOR vs. NJN",19,13,4,Toronto Raptors,Drafted,893,31936,6209,12581,305,910,4466,5591,1927,7592,1795,730,932,1807,2159,17189,0.494,0.335,0.799,35.8,19.2,8.5,2,0.8,1
5,Dwyane Wade,"Oct 28, '03, MIA @ PHI",22,16,5,Miami Heat,Drafted,1054,35773,8454,17617,549,1874,5708,7463,1258,4933,5701,1620,885,3326,2328,23165,0.48,0.293,0.765,33.9,22,4.7,5.4,1.5,0.8
6,Chris Kaman,"Oct 30, '03, LAC @ SEA",21,13,6,LA Clippers,Drafted,735,19642,3432,7023,1,24,1343,1808,1487,5582,921,322,931,1544,1968,8208,0.489,0.042,0.743,26.7,11.2,7.6,1.3,0.4,1.3
7,Kirk Hinrich,"Nov 7, '03, CHI vs. PHI",23,13,7,Chicago Bulls,Drafted,879,27015,3503,8522,1172,3122,1416,1770,310,2576,4245,972,243,1617,2487,9594,0.411,0.375,0.8,30.7,10.9,2.9,4.8,1.1,0.3
8,T.J. Ford,"Oct 31, '03, MIL @ IND",20,8,8,Milwaukee Bucks,Drafted,429,11882,1829,4223,127,439,1012,1242,296,1331,2495,496,55,1047,972,4797,0.433,0.289,0.815,27.7,11.2,3.1,5.8,1.2,0.1
9,Mike Sweetney,"Oct 29, '03, NYK vs. ORL",21,4,9,New York Knicks,Drafted,233,3610,564,1164,0,2,388,563,400,1045,145,73,107,277,569,1516,0.485,0,0.689,15.5,6.5,4.5,0.6,0.3,0.5
10,Jarvis Hayes,"Oct 29, '03, WAS @ CHI",22,7,10,Washington Wizards,Drafted,427,9898,1397,3363,392,1101,367,460,244,1330,459,312,56,374,852,3553,0.415,0.356,0.798,23.2,8.3,3.1,1.1,0.7,0.1
11,Mickael Pietrus,"Oct 29, '03, GSW vs. DAL",21,10,11,Golden State Warriors,Drafted,557,11950,1625,3821,679,1910,700,1053,440,1723,445,371,230,576,1270,4629,0.425,0.355,0.665,21.5,8.3,3.1,0.8,0.7,0.4
12,Nick Collison,"Nov 3, '04, SEA @ LAC",24,14,12,San Antonio Spurs,Drafted,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,0.534,0.208,0.723,20.4,5.9,5.2,1,0.5,0.5
13,Marcus Banks,"Oct 29, '03, BOS vs. MIA",22,8,13,Memphis Grizzlies,Drafted,348,5571,741,1715,125,382,454,591,100,519,728,266,57,436,674,2061,0.432,0.327,0.768,16,5.9,1.5,2.1,0.8,0.2
14,Luke Ridnour,"Oct 30, '03, SEA vs. LAC",22,12,14,San Antonio Spurs,Drafted,830,21623,2933,6803,584,1674,1290,1496,363,1877,3713,814,161,1349,1779,7740,0.431,0.349,0.862,26.1,9.3,2.3,4.5,1,0.2
15,Reece Gaines,"Oct 29, '03, ORL @ NYK",23,3,15,Orlando Magic,Drafted,71,605,48,148,7,26,20,33,9,53,50,17,3,26,40,123,0.324,0.269,0.606,8.5,1.7,0.7,0.7,0.2,0
16,Troy Bell,"Dec 13, '03, MEM vs. NJN",23,1,16,Boston Celtics,Drafted,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,0.222,0,1,5.7,1.8,0.7,0.7,0.2,0
17,Zarko Cabarkapa,"Oct 28, '03, PHO @ SAS",22,3,17,Phoenix Suns,Drafted,150,1550,234,548,24,88,148,202,98,312,85,33,25,119,221,640,0.427,0.273,0.733,10.3,4.3,2.1,0.6,0.2,0.2
18,David West,"Oct 29, '03, NOH vs. ATL",23,15,18,New Orleans Hornets,Drafted,1034,29144,5703,11519,57,215,2571,3148,1784,6590,2273,764,850,1660,2408,14034,0.495,0.265,0.817,28.2,13.6,6.4,2.2,0.7,0.8
19,Sasha Pavlovic,"Oct 29, '03, UTA vs. POR",20,10,19,Utah Jazz,Drafted,567,8888,1070,2651,308,890,339,504,188,1000,517,272,98,460,1026,2787,0.404,0.346,0.673,15.7,4.9,1.8,0.9,0.5,0.2
20,Dahntay Jones,"Nov 21, '03, MEM @ SEA",23,13,20,Boston Celtics,Drafted,624,9799,1203,2739,107,325,840,1118,252,1082,529,261,144,507,1206,3353,0.439,0.329,0.751,15.7,5.4,1.7,0.8,0.4,0.2
21,Boris Diaw,"Oct 29, '03, ATL @ NOH",21,14,21,Atlanta Hawks,Drafted,1064,28768,3805,7711,475,1413,1054,1470,1258,4634,3684,648,510,1897,2269,9139,0.493,0.336,0.717,27,8.6,4.4,3.5,0.6,0.5
22,Zoran Planinic,"Oct 31, '03, NJN vs. MIN",21,3,22,New Jersey Nets,Drafted,148,1584,197,486,37,128,130,192,47,198,165,58,7,120,237,561,0.405,0.289,0.677,10.7,3.8,1.3,1.1,0.4,0
23,Travis Outlaw,"Nov 15, '03, POR @ NOH",19,11,23,Portland Trail Blazers,Drafted,622,13026,1994,4713,344,1021,941,1265,480,1974,514,331,381,512,1035,5273,0.423,0.337,0.744,20.9,8.5,3.2,0.8,0.5,0.6
24,Brian Cook,"Dec 28, '03, LAL vs. BOS",23,9,24,Los Angeles Lakers,Drafted,421,5649,915,2083,262,686,220,281,308,1115,252,135,134,252,789,2312,0.439,0.382,0.783,13.4,5.5,2.6,0.6,0.3,0.3
25,Carlos Delfino,"Nov 2, '04, HOU @ DET",21,8,25,Detroit Pistons,Drafted,507,11580,11580,1472,3669,1856,493,650,287,1815,887,461,88,509,827,4115,0.401,0.365,0.758,22.8,8.1,3.6,1.7,0.9,0.2
26,Ndudi Ebi,"Nov 1, '03, MIN vs. TOR",19,2,26,Minnesota Timberwolves,Drafted,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,0.486,0,0.462,4.5,2.1,1,0.2,0.1,0.3
27,Kendrick Perkins,"Dec 13, '03, BOS @ CLE",19,14,27,Memphis Grizzlies,Drafted,782,17162,1705,3219,0,14,804,1353,1305,4532,813,263,903,1233,2142,4214,0.53,0,0.594,21.9,5.4,5.8,1,0.3,1.2
28,Leandro Barbosa,"Nov 12, '03, PHO vs. ATL",21,14,28,Sacramento Kings,Drafted,850,18386,3403,7409,988,2556,1241,1511,319,1720,1775,693,121,1061,1651,9035,0.459,0.387,0.821,21.6,10.6,2,2.1,0.8,0.1
29,Josh Howard,"Oct 28, '03, DAL @ LAL",23,10,29,Dallas Mavericks,Drafted,507,15350,2759,6161,342,1029,1410,1830,846,2886,817,530,276,723,1297,7270,0.448,0.332,0.77,30.3,14.3,5.7,1.6,1,0.5
30,Maciej Lampe,"Jan 23, '04, PHO vs. SAS",18,3,30,New York Knicks,Drafted,64,632,94,231,2,8,25,37,37,142,22,8,10,35,81,215,0.407,0.25,0.676,9.9,3.4,2.2,0.3,0.1,0.2
31,Jason Kapono,"Oct 30, '03, CLE @ PHO",22,9,31,Cleveland Cavaliers,Drafted,509,9068,1336,3026,457,1054,269,322,165,844,417,180,25,327,777,3398,0.442,0.434,0.835,17.8,6.7,1.7,0.8,0.4,0
32,Luke Walton,"Oct 28, '03, LAL vs. DAL",23,10,32,Los Angeles Lakers,Drafted,564,9685,1050,2449,182,558,367,513,481,1588,1317,313,102,597,810,2649,0.429,0.326,0.715,17.2,4.7,2.8,2.3,0.6,0.2
33,Jerome Beasley,"Oct 29, '03, MIA @ BOS",23,1,33,Miami Heat,Drafted,2,5,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0.333,0,0,2.5,1,0.5,0,0,0
34,Sofoklis Schortsanitis,N/A,,0,34,LA Clippers,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Szymon Szewczyk,N/A,,0,35,Milwaukee Bucks,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Mario Austin,N/A,,0,36,Chicago Bulls,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Travis Hansen,"Nov 5, '03, ATL @ GSW",25,1,37,Atlanta Hawks,Drafted,41,507,46,130,9,30,22,27,30,70,19,10,9,15,67,123,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.2
38,Steve Blake,"Oct 29, '03, WAS @ CHI",23,13,38,Washington Wizards,Drafted,870,20823,2061,5145,1037,2709,503,646,250,1816,3446,587,63,1222,1287,5662,0.401,0.383,0.779,23.9,6.5,2.1,4,0.7,0.1
39,Slavko Vraneš,"Jan 8, '04, POR @ MIN",21,1,39,New York Knicks,Drafted,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
40,Derrick Zimmerman,N/A,,0,40,Golden State Warriors,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Willie Green,"Oct 28, '03, PHI vs. MIA",22,12,41,San Antonio Spurs,Drafted,731,14783,2417,5682,517,1494,708,925,242,1303,1018,393,108,705,1259,6059,0.425,0.346,0.765,20.2,8.3,1.8,1.4,0.5,0.1
42,Zaza Pachulia,"Nov 5, '03, ORL vs. CHI",19,16,42,Orlando Magic,Drafted,1098,22240,2608,5559,0,31,2198,2927,2362,6315,1433,768,378,1444,2738,7414,0.469,0,0.751,20.3,6.8,5.8,1.3,0.7,0.3
43,Keith Bogans,"Nov 7, '03, ORL vs. MIN",23,11,43,Milwaukee Bucks,Drafted,671,14527,1482,3759,714,2020,579,809,391,1817,866,429,68,574,1223,4257,0.394,0.353,0.716,21.6,6.3,2.7,1.3,0.6,0.1
44,Malick Badiane,N/A,,0,44,Houston Rockets,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Matt Bonner,N/A,,0,45,Chicago Bulls,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Sani Becirovic,N/A,,0,46,Denver Nuggets,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Mo Williams,"Nov 1, '03, UTA @ DAL",21,13,47,Utah Jazz,Drafted,818,23872,4051,9326,1094,2891,1563,1795,407,2264,3990,721,121,1849,2005,10759,0.434,0.378,0.871,29.2,13.2,2.8,4.9,0.9,0.1
48,James Lang,N/A,,0,48,New Orleans Hornets,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,James Jones,"Dec 26, '03, IND @ MIL",23,14,49,Indiana Pacers,Drafted,709,11098,1205,3003,776,1937,531,632,226,1276,366,226,218,231,930,3717,0.401,0.401,0.84,15.7,5.2,1.8,0.5,0.3,0.3
50,Paccelis Morlende,N/A,,0,50,Philadelphia 76ers,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Kyle Korver,"Oct 28, '03, PHI vs. MIA",22,17,51,New Jersey Nets,Drafted,1232,31183,4103,9277,2450,5715,1297,1479,345,3643,2114,804,403,1290,2522,11953,0.442,0.429,0.877,25.3,9.7,3,1.7,0.7,0.3
52,Remon van de Hare,N/A,,0,52,Toronto Raptors,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Tommy Smith,N/A,,0,53,Chicago Bulls,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Nedzad Sinanovic,N/A,,0,54,Portland Trail Blazers,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Rick Rickert,N/A,,0,55,Minnesota Timberwolves,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Brandon Hunter,"Jan 9, '04, BOS vs. CLE",23,2,56,Boston Celtics,Drafted,67,630,90,189,0,3,40,82,75,187,22,17,8,44,82,220,0.476,0,0.488,9.4,3.3,2.8,0.3,0.3,0.1
57,Xue Yuyang,N/A,,0,57,Dallas Mavericks,Drafted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Andreas Glyniadakis,"Nov 10, '06 SEA vs. CHA",25,1,58,Detroit Pistons,Drafted,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,0.471,0,0.5,6.2,1.3,0.6,0.1,0,0
59,Earl Barron,"Nov 2, '05, MIA @ MEM",24,8,0,Undrafted,Undrafted,140,1985,255,687,3,18,127,181,188,492,63,46,30,107,270,640,0.371,0.167,0.702,14.2,4.6,3.5,0.5,0.3,0.2
60,Kevin Burleson,"	Nov 11, '05, CHA vs. DAL",26,1,0,Undrafted,Undrafted,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,0.25,0.185,0.941,8.7,1.8,0.7,1.2,0.7,0.1
